release_date,time,actual,forcast,previous,year_,month_
"Feb 01, 1992 (Jan)",13:30,0.10%, ,0.30%,1992,1
"Jan 01, 1992 (Dec)",13:30,0.30%, ,0.40%,1991,12
"Dec 01, 1991 (Nov)",13:30,0.40%, ,0.10%,1991,11
"Nov 01, 1991 (Oct)",13:30,0.10%, ,0.30%,1991,10
"Oct 01, 1991 (Sep)",13:30,0.30%, ,0.30%,1991,9
"Sep 01, 1991 (Aug)",13:30,0.30%, ,0.10%,1991,8
"Aug 01, 1991 (Jul)",13:30,0.10%, ,0.30%,1991,7
"Jul 01, 1991 (Jun)",13:30,0.30%, ,0.40%,1991,6
"Jun 01, 1991 (May)",13:30,0.40%, ,0.20%,1991,5
"May 01, 1991 (Apr)",13:30,0.20%, ,0.00%,1991,4
"Apr 01, 1991 (Mar)",13:30,0.00%, ,0.10%,1991,3
"Mar 01, 1991 (Feb)",13:30,0.10%, ,0.40%,1991,2
"Feb 01, 1991 (Jan)",13:30,0.40%, ,0.40%,1991,1
"Jan 01, 1991 (Dec)",13:30,0.40%, ,0.20%,1990,12
"Dec 01, 1990 (Nov)",13:30,0.20%, ,0.70%,1990,11
"Nov 01, 1990 (Oct)",13:30,0.70%, ,0.70%,1990,10
"Oct 01, 1990 (Sep)",13:30,0.70%, ,0.80%,1990,9
"Sep 01, 1990 (Aug)",13:30,0.80%, ,0.50%,1990,8
"Aug 01, 1990 (Jul)",13:30,0.50%, ,0.60%,1990,7
"Jul 01, 1990 (Jun)",13:30,0.60%, ,0.20%,1990,6
"Jun 01, 1990 (May)",13:30,0.20%, ,0.20%,1990,5
"May 01, 1990 (Apr)",13:30,0.20%, ,0.50%,1990,4
"Apr 01, 1990 (Mar)",13:30,0.50%, ,0.40%,1990,3
"Mar 01, 1990 (Feb)",13:30,0.40%, ,1.00%,1990,2
"Feb 01, 1990 (Jan)",13:30,1.00%, ,0.30%,1990,1
"Jan 01, 1990 (Dec)",13:30,0.30%, ,0.40%,1989,12
"Dec 01, 1989 (Nov)",13:30,0.40%, ,0.50%,1989,11
"Nov 01, 1989 (Oct)",13:30,0.50%, ,0.20%,1989,10
"Oct 01, 1989 (Sep)",13:30,0.20%, ,0.00%,1989,9
"Sep 01, 1989 (Aug)",13:30,0.00%, ,0.30%,1989,8
"Aug 01, 1989 (Jul)",13:30,0.30%, ,0.30%,1989,7
"Jul 01, 1989 (Jun)",13:30,0.30%, ,0.50%,1989,6
"Jun 01, 1989 (May)",13:30,0.50%, ,0.70%,1989,5
"May 01, 1989 (Apr)",13:30,0.70%, ,0.50%,1989,4
"Apr 01, 1989 (Mar)",13:30,0.50%, ,0.30%,1989,3
"Mar 01, 1989 (Feb)",13:30,0.30%, ,0.40%,1989,2
"Feb 01, 1989 (Jan)",13:30,0.40%, ,0.30%,1989,1
"Jan 01, 1989 (Dec)",13:30,0.30%, ,0.30%,1988,12
"Dec 01, 1988 (Nov)",13:30,0.30%, ,0.30%,1988,11
"Nov 01, 1988 (Oct)",13:30,0.30%, ,0.40%,1988,10
"Oct 01, 1988 (Sep)",13:30,0.40%, ,0.40%,1988,9
"Sep 01, 1988 (Aug)",13:30,0.40%, ,0.40%,1988,8
"Aug 01, 1988 (Jul)",13:30,0.40%, ,0.40%,1988,7
"Jul 01, 1988 (Jun)",13:30,0.40%, ,0.30%,1988,6
"Jun 01, 1988 (May)",13:30,0.30%, ,0.60%,1988,5
"May 01, 1988 (Apr)",13:30,0.60%, ,0.30%,1988,4
"Apr 01, 1988 (Mar)",13:30,0.30%, ,0.20%,1988,3
"Mar 01, 1988 (Feb)",13:30,0.20%, ,0.30%,1988,2
"Feb 01, 1988 (Jan)",13:30,0.30%, ,0.20%,1988,1
"Jan 01, 1988 (Dec)",13:30,0.20%, ,0.30%,1987,12
"Dec 01, 1987 (Nov)",13:30,0.30%, ,0.30%,1987,11
"Nov 01, 1987 (Oct)",13:30,0.30%, ,0.30%,1987,10
"Oct 01, 1987 (Sep)",13:30,0.30%, ,0.40%,1987,9
"Sep 01, 1987 (Aug)",13:30,0.40%, ,0.30%,1987,8
"Aug 01, 1987 (Jul)",13:30,0.30%, ,0.40%,1987,7
"Jul 01, 1987 (Jun)",13:30,0.40%, ,0.30%,1987,6
"Jun 01, 1987 (May)",13:30,0.30%, ,0.40%,1987,5
"May 01, 1987 (Apr)",13:30,0.40%, ,0.40%,1987,4
"Apr 01, 1987 (Mar)",13:30,0.40%, ,0.40%,1987,3
"Mar 01, 1987 (Feb)",13:30,0.40%, ,0.50%,1987,2
"Feb 01, 1987 (Jan)",13:30,0.50%, ,0.40%,1987,1
"Jan 01, 1987 (Dec)",13:30,0.40%, ,0.20%,1986,12
"Dec 01, 1986 (Nov)",13:30,0.20%, ,0.20%,1986,11
"Nov 01, 1986 (Oct)",13:30,0.20%, ,0.40%,1986,10
"Oct 01, 1986 (Sep)",13:30,0.40%, ,0.10%,1986,9
"Sep 01, 1986 (Aug)",13:30,0.10%, ,0.10%,1986,8
"Aug 01, 1986 (Jul)",13:30,0.10%, ,0.40%,1986,7
"Jul 01, 1986 (Jun)",13:30,0.40%, ,0.30%,1986,6
"Jun 01, 1986 (May)",13:30,0.30%, ,-0.40%,1986,5
"May 01, 1986 (Apr)",13:30,-0.40%, ,-0.50%,1986,4
"Apr 01, 1986 (Mar)",13:30,-0.50%, ,-0.20%,1986,3
"Mar 01, 1986 (Feb)",13:30,-0.20%, ,0.40%,1986,2
"Feb 01, 1986 (Jan)",13:30,0.40%, ,0.50%,1986,1
"Jan 01, 1986 (Dec)",13:30,0.50%, ,0.50%,1985,12
"Dec 01, 1985 (Nov)",13:30,0.50%, ,0.40%,1985,11
"Nov 01, 1985 (Oct)",13:30,0.40%, ,0.20%,1985,10
"Oct 01, 1985 (Sep)",13:30,0.20%, ,0.20%,1985,9
"Sep 01, 1985 (Aug)",13:30,0.20%, ,0.20%,1985,8
"Aug 01, 1985 (Jul)",13:30,0.20%, ,0.30%,1985,7
"Jul 01, 1985 (Jun)",13:30,0.30%, ,0.20%,1985,6
"Jun 01, 1985 (May)",13:30,0.20%, ,0.20%,1985,5
"May 01, 1985 (Apr)",13:30,0.20%, ,0.50%,1985,4
"Apr 01, 1985 (Mar)",13:30,0.50%, ,0.60%,1985,3
"Mar 01, 1985 (Feb)",13:30,0.60%, ,0.20%,1985,2
"Feb 01, 1985 (Jan)",13:30,0.20%, ,0.20%,1985,1
"Jan 01, 1985 (Dec)",13:30,0.20%, ,0.20%,1984,12
"Dec 01, 1984 (Nov)",13:30,0.20%, ,0.40%,1984,11
"Nov 01, 1984 (Oct)",13:30,0.40%, ,0.30%,1984,10
"Oct 01, 1984 (Sep)",13:30,0.30%, ,0.30%,1984,9
"Sep 01, 1984 (Aug)",13:30,0.30%, ,0.40%,1984,8
"Aug 01, 1984 (Jul)",13:30,0.40%, ,0.20%,1984,7
"Jul 01, 1984 (Jun)",13:30,0.20%, ,0.20%,1984,6
"Jun 01, 1984 (May)",13:30,0.20%, ,0.40%,1984,5
"May 01, 1984 (Apr)",13:30,0.40%, ,0.30%,1984,4
"Apr 01, 1984 (Mar)",13:30,0.30%, ,0.50%,1984,3
"Mar 01, 1984 (Feb)",13:30,0.50%, ,0.70%,1984,2
"Feb 01, 1984 (Jan)",13:30,0.70%, ,0.30%,1984,1
"Jan 01, 1984 (Dec)",13:30,0.30%, ,0.30%,1983,12
"Dec 01, 1983 (Nov)",13:30,0.30%, ,0.40%,1983,11
"Nov 01, 1983 (Oct)",13:30,0.40%, ,0.30%,1983,10
"Oct 01, 1983 (Sep)",13:30,0.30%, ,0.30%,1983,9
"Sep 01, 1983 (Aug)",13:30,0.30%, ,0.40%,1983,8
"Aug 01, 1983 (Jul)",13:30,0.40%, ,0.20%,1983,7
"Jul 01, 1983 (Jun)",13:30,0.20%, ,0.40%,1983,6
"Jun 01, 1983 (May)",13:30,0.40%, ,0.70%,1983,5
"May 01, 1983 (Apr)",13:30,0.70%, ,0.10%,1983,4
"Apr 01, 1983 (Mar)",13:30,0.10%, ,0.10%,1983,3
"Mar 01, 1983 (Feb)",13:30,0.10%, ,0.20%,1983,2
"Feb 01, 1983 (Jan)",13:30,0.20%, ,-0.30%,1983,1
"Jan 01, 1983 (Dec)",13:30,-0.30%, ,-0.10%,1982,12
"Dec 01, 1982 (Nov)",13:30,-0.10%, ,0.40%,1982,11
"Nov 01, 1982 (Oct)",13:30,0.40%, ,0.00%,1982,10
"Oct 01, 1982 (Sep)",13:30,0.00%, ,0.20%,1982,9
"Sep 01, 1982 (Aug)",13:30,0.20%, ,0.50%,1982,8
"Aug 01, 1982 (Jul)",13:30,0.50%, ,1.10%,1982,7
"Jul 01, 1982 (Jun)",13:30,1.10%, ,0.90%,1982,6
"Jun 01, 1982 (May)",13:30,0.90%, ,0.30%,1982,5
"May 01, 1982 (Apr)",13:30,0.30%, ,0.00%,1982,4
"Apr 01, 1982 (Mar)",13:30,0.00%, ,0.30%,1982,3
"Mar 01, 1982 (Feb)",13:30,0.30%, ,0.30%,1982,2
"Feb 01, 1982 (Jan)",13:30,0.30%, ,0.30%,1982,1
"Jan 01, 1982 (Dec)",13:30,0.30%, ,0.40%,1981,12
"Dec 01, 1981 (Nov)",13:30,0.40%, ,0.30%,1981,11
"Nov 01, 1981 (Oct)",13:30,0.30%, ,1.00%,1981,10
"Oct 01, 1981 (Sep)",13:30,1.00%, ,0.80%,1981,9
"Sep 01, 1981 (Aug)",13:30,0.80%, ,1.10%,1981,8
"Aug 01, 1981 (Jul)",13:30,1.10%, ,0.90%,1981,7
"Jul 01, 1981 (Jun)",13:30,0.90%, ,0.70%,1981,6
"Jun 01, 1981 (May)",13:30,0.70%, ,0.60%,1981,5
"May 01, 1981 (Apr)",13:30,0.60%, ,0.70%,1981,4
"Apr 01, 1981 (Mar)",13:30,0.70%, ,0.90%,1981,3
"Mar 01, 1981 (Feb)",13:30,0.90%, ,0.90%,1981,2
"Feb 01, 1981 (Jan)",13:30,0.90%, ,0.90%,1981,1
"Jan 01, 1981 (Dec)",13:30,0.90%, ,1.10%,1980,12
"Dec 01, 1980 (Nov)",13:30,1.10%, ,1.00%,1980,11
"Nov 01, 1980 (Oct)",13:30,1.00%, ,0.80%,1980,10
"Oct 01, 1980 (Sep)",13:30,0.80%, ,0.70%,1980,9
"Sep 01, 1980 (Aug)",13:30,0.70%, ,0.10%,1980,8
"Aug 01, 1980 (Jul)",13:30,0.10%, ,1.00%,1980,7
"Jul 01, 1980 (Jun)",13:30,1.00%, ,1.00%,1980,6
"Jun 01, 1980 (May)",13:30,1.00%, ,1.00%,1980,5
"May 01, 1980 (Apr)",13:30,1.00%, ,1.40%,1980,4
"Apr 01, 1980 (Mar)",13:30,1.40%, ,1.30%,1980,3
"Mar 01, 1980 (Feb)",13:30,1.30%, ,1.40%,1980,2
"Feb 01, 1980 (Jan)",13:30,1.40%, ,1.20%,1980,1
"Jan 01, 1980 (Dec)",13:30,1.20%, ,1.10%,1979,12
"Dec 01, 1979 (Nov)",13:30,1.10%, ,1.10%,1979,11
"Nov 01, 1979 (Oct)",13:30,1.10%, ,0.90%,1979,10
"Oct 01, 1979 (Sep)",13:30,0.90%, ,1.00%,1979,9
"Sep 01, 1979 (Aug)",13:30,1.00%, ,1.10%,1979,8
"Aug 01, 1979 (Jul)",13:30,1.10%, ,1.10%,1979,7
"Jul 01, 1979 (Jun)",13:30,1.10%, ,1.10%,1979,6
"Jun 01, 1979 (May)",13:30,1.10%, ,1.00%,1979,5
"May 01, 1979 (Apr)",13:30,1.00%, ,1.00%,1979,4
"Apr 01, 1979 (Mar)",13:30,1.00%, ,1.00%,1979,3
"Mar 01, 1979 (Feb)",13:30,1.00%, ,0.90%,1979,2
"Feb 01, 1979 (Jan)",13:30,0.90%, ,0.60%,1979,1
"Jan 01, 1979 (Dec)",13:30,0.60%, ,0.60%,1978,12
"Dec 01, 1978 (Nov)",13:30,0.60%, ,0.90%,1978,11
"Nov 01, 1978 (Oct)",13:30,0.90%, ,0.90%,1978,10
"Oct 01, 1978 (Sep)",13:30,0.90%, ,0.60%,1978,9
"Sep 01, 1978 (Aug)",13:30,0.60%, ,0.80%,1978,8
"Aug 01, 1978 (Jul)",13:30,0.80%, ,0.80%,1978,7
"Jul 01, 1978 (Jun)",13:30,0.80%, ,0.90%,1978,6
"Jun 01, 1978 (May)",13:30,0.90%, ,0.80%,1978,5
"May 01, 1978 (Apr)",13:30,0.80%, ,0.60%,1978,4
"Apr 01, 1978 (Mar)",13:30,0.60%, ,0.50%,1978,3
"Mar 01, 1978 (Feb)",13:30,0.50%, ,0.60%,1978,2
"Feb 01, 1978 (Jan)",13:30,0.60%, ,0.50%,1978,1
"Jan 01, 1978 (Dec)",13:30,0.50%, ,0.60%,1977,12
"Dec 01, 1977 (Nov)",13:30,0.60%, ,0.50%,1977,11
"Nov 01, 1977 (Oct)",13:30,0.50%, ,0.30%,1977,10
"Oct 01, 1977 (Sep)",13:30,0.30%, ,0.50%,1977,9
"Sep 01, 1977 (Aug)",13:30,0.50%, ,0.50%,1977,8
"Aug 01, 1977 (Jul)",13:30,0.50%, ,0.50%,1977,7
"Jul 01, 1977 (Jun)",13:30,0.50%, ,0.30%,1977,6
"Jun 01, 1977 (May)",13:30,0.30%, ,0.70%,1977,5
"May 01, 1977 (Apr)",13:30,0.70%, ,0.50%,1977,4
"Apr 01, 1977 (Mar)",13:30,0.50%, ,1.00%,1977,3
"Mar 01, 1977 (Feb)",13:30,1.00%, ,0.50%,1977,2
"Feb 01, 1977 (Jan)",13:30,0.50%, ,0.50%,1977,1
"Jan 01, 1977 (Dec)",13:30,0.50%, ,0.30%,1976,12
"Dec 01, 1976 (Nov)",13:30,0.30%, ,0.50%,1976,11
"Nov 01, 1976 (Oct)",13:30,0.50%, ,0.50%,1976,10
"Oct 01, 1976 (Sep)",13:30,0.50%, ,0.50%,1976,9
"Sep 01, 1976 (Aug)",13:30,0.50%, ,0.50%,1976,8
"Aug 01, 1976 (Jul)",13:30,0.50%, ,0.50%,1976,7
"Jul 01, 1976 (Jun)",13:30,0.50%, ,0.50%,1976,6
"Jun 01, 1976 (May)",13:30,0.50%, ,0.20%,1976,5
"May 01, 1976 (Apr)",13:30,0.20%, ,0.20%,1976,4
"Apr 01, 1976 (Mar)",13:30,0.20%, ,0.20%,1976,3
"Mar 01, 1976 (Feb)",13:30,0.20%, ,0.40%,1976,2
"Feb 01, 1976 (Jan)",13:30,0.40%, ,0.50%,1976,1
"Jan 01, 1976 (Dec)",13:30,0.50%, ,0.70%,1975,12
"Dec 01, 1975 (Nov)",13:30,0.70%, ,0.50%,1975,11
"Nov 01, 1975 (Oct)",13:30,0.50%, ,0.70%,1975,10
"Oct 01, 1975 (Sep)",13:30,0.70%, ,0.40%,1975,9
"Sep 01, 1975 (Aug)",13:30,0.40%, ,0.90%,1975,8
"Aug 01, 1975 (Jul)",13:30,0.90%, ,0.80%,1975,7
"Jul 01, 1975 (Jun)",13:30,0.80%, ,0.20%,1975,6
"Jun 01, 1975 (May)",13:30,0.20%, ,0.40%,1975,5
"May 01, 1975 (Apr)",13:30,0.40%, ,0.40%,1975,4
"Apr 01, 1975 (Mar)",13:30,0.40%, ,0.60%,1975,3
"Mar 01, 1975 (Feb)",13:30,0.60%, ,0.80%,1975,2
"Feb 01, 1975 (Jan)",13:30,0.80%, ,0.80%,1975,1
"Jan 01, 1975 (Dec)",13:30,0.80%, ,1.00%,1974,12
"Dec 01, 1974 (Nov)",13:30,1.00%, ,0.80%,1974,11
"Nov 01, 1974 (Oct)",13:30,0.80%, ,1.40%,1974,10
"Oct 01, 1974 (Sep)",13:30,1.40%, ,1.20%,1974,9
"Sep 01, 1974 (Aug)",13:30,1.20%, ,0.60%,1974,8
"Aug 01, 1974 (Jul)",13:30,0.60%, ,0.80%,1974,7
"Jul 01, 1974 (Jun)",13:30,0.80%, ,1.00%,1974,6
"Jun 01, 1974 (May)",13:30,1.00%, ,0.60%,1974,5
"May 01, 1974 (Apr)",13:30,0.60%, ,1.10%,1974,4
"Apr 01, 1974 (Mar)",13:30,1.10%, ,1.10%,1974,3
"Mar 01, 1974 (Feb)",13:30,1.10%, ,1.10%,1974,2
"Feb 01, 1974 (Jan)",13:30,1.10%, ,0.90%,1974,1
"Jan 01, 1974 (Dec)",13:30,0.90%, ,0.70%,1973,12
"Dec 01, 1973 (Nov)",13:30,0.70%, ,0.90%,1973,11
"Nov 01, 1973 (Oct)",13:30,0.90%, ,0.40%,1973,10
"Oct 01, 1973 (Sep)",13:30,0.40%, ,1.80%,1973,9
"Sep 01, 1973 (Aug)",13:30,1.80%, ,0.00%,1973,8
"Aug 01, 1973 (Jul)",13:30,0.00%, ,0.70%,1973,7
"Jul 01, 1973 (Jun)",13:30,0.70%, ,0.50%,1973,6
"Jun 01, 1973 (May)",13:30,0.50%, ,0.70%,1973,5
"May 01, 1973 (Apr)",13:30,0.70%, ,0.90%,1973,4
"Apr 01, 1973 (Mar)",13:30,0.90%, ,0.70%,1973,3
"Mar 01, 1973 (Feb)",13:30,0.70%, ,0.50%,1973,2
"Feb 01, 1973 (Jan)",13:30,0.50%, ,0.20%,1973,1
"Jan 01, 1973 (Dec)",13:30,0.20%, ,0.50%,1972,12
"Dec 01, 1972 (Nov)",13:30,0.50%, ,0.20%,1972,11
"Nov 01, 1972 (Oct)",13:30,0.20%, ,0.50%,1972,10
"Oct 01, 1972 (Sep)",13:30,0.50%, ,0.20%,1972,9
"Sep 01, 1972 (Aug)",13:30,0.20%, ,0.20%,1972,8
"Aug 01, 1972 (Jul)",13:30,0.20%, ,0.20%,1972,7
"Jul 01, 1972 (Jun)",13:30,0.20%, ,0.20%,1972,6
"Jun 01, 1972 (May)",13:30,0.20%, ,0.20%,1972,5
"May 01, 1972 (Apr)",13:30,0.20%, ,0.00%,1972,4
"Apr 01, 1972 (Mar)",13:30,0.00%, ,0.50%,1972,3
"Mar 01, 1972 (Feb)",13:30,0.50%, ,0.20%,1972,2
"Feb 01, 1972 (Jan)",13:30,0.20%, ,0.20%,1972,1
"Jan 01, 1972 (Dec)",13:30,0.20%, ,0.20%,1971,12
"Dec 01, 1971 (Nov)",13:30,0.20%, ,0.20%,1971,11
"Nov 01, 1971 (Oct)",13:30,0.20%, ,0.20%,1971,10
"Oct 01, 1971 (Sep)",13:30,0.20%, ,0.20%,1971,9
"Sep 01, 1971 (Aug)",13:30,0.20%, ,0.20%,1971,8
"Aug 01, 1971 (Jul)",13:30,0.20%, ,0.50%,1971,7
"Jul 01, 1971 (Jun)",13:30,0.50%, ,0.50%,1971,6
"Jun 01, 1971 (May)",13:30,0.50%, ,0.20%,1971,5
"May 01, 1971 (Apr)",13:30,0.20%, ,0.30%,1971,4
"Apr 01, 1971 (Mar)",13:30,0.30%, ,0.00%,1971,3
"Mar 01, 1971 (Feb)",13:30,0.00%, ,0.30%,1971,2
"Feb 01, 1971 (Jan)",13:30,0.30%, ,0.50%,1971,1
"Jan 01, 1971 (Dec)",13:30,0.50%, ,0.50%,1970,12
"Dec 01, 1970 (Nov)",13:30,0.50%, ,0.50%,1970,11
"Nov 01, 1970 (Oct)",13:30,0.50%, ,0.50%,1970,10
"Oct 01, 1970 (Sep)",13:30,0.50%, ,0.30%,1970,9
"Sep 01, 1970 (Aug)",13:30,0.30%, ,0.30%,1970,8
"Aug 01, 1970 (Jul)",13:30,0.30%, ,0.50%,1970,7
"Jul 01, 1970 (Jun)",13:30,0.50%, ,0.30%,1970,6
"Jun 01, 1970 (May)",13:30,0.30%, ,0.50%,1970,5
"May 01, 1970 (Apr)",13:30,0.50%, ,0.50%,1970,4
"Apr 01, 1970 (Mar)",13:30,0.50%, ,0.50%,1970,3
"Mar 01, 1970 (Feb)",13:30,0.50%, ,0.50%,1970,2
"Feb 01, 1970 (Jan)",13:30,0.50%, ,0.50%,1970,1
"Jan 01, 1970 (Dec)",13:30,0.50%, , ,1969,12
