release_date,time,actual,forcast,previous,year_,month_
"Mar 15, 2017 (Feb)",17:00,0.10%,0.10%,0.60%,2017,2
"Feb 15, 2017 (Jan)",18:00,0.60%,0.30%,0.30%,2017,1
"Jan 18, 2017 (Dec)",18:00,0.30%,0.30%,0.20%,2016,12
"Dec 15, 2016 (Nov)",18:00,0.20%,0.20%,0.40%,2016,11
"Nov 17, 2016 (Oct)",18:00,0.40%,0.40%,0.30%,2016,10
"Oct 18, 2016 (Sep)",17:00,0.30%,0.30%,0.20%,2016,9
"Sep 16, 2016 (Aug)",17:00,0.20%,0.10%,0.00%,2016,8
"Aug 16, 2016 (Jul)",17:00,0.00%,0.10%,0.20%,2016,7
"Jul 15, 2016 (Jun)",17:00,0.20%,0.30%,0.20%,2016,6
"Jun 16, 2016 (May)",17:00,0.20%,0.30%,0.40%,2016,5
"May 17, 2016 (Apr)",17:00,0.40%,0.30%,0.10%,2016,4
"Apr 14, 2016 (Mar)",17:00,0.10%,0.20%,-0.20%,2016,3
"Mar 16, 2016 (Feb)",17:00,-0.20%,-0.20%,0.00%,2016,2
"Feb 19, 2016 (Jan)",18:00,0.00%,-0.10%,-0.10%,2016,1
"Jan 20, 2016 (Dec)",18:00,-0.10%,0.00%,0.00%,2015,12
"Dec 15, 2015 (Nov)",18:00,0.00%,0.00%,0.20%,2015,11
"Nov 17, 2015 (Oct)",18:00,0.20%,0.20%,-0.20%,2015,10
"Oct 15, 2015 (Sep)",17:00,-0.20%,-0.20%,-0.10%,2015,9
"Sep 16, 2015 (Aug)",17:00,-0.10%,-0.10%,0.10%,2015,8
"Aug 19, 2015 (Jul)",17:00,0.10%,0.20%,0.30%,2015,7
"Jul 17, 2015 (Jun)",17:00,0.30%,0.30%,0.40%,2015,6
"Jun 18, 2015 (May)",17:00,0.40%,0.50%,0.10%,2015,5
"May 22, 2015 (Apr)",17:00,0.10%,0.10%,0.20%,2015,4
"Apr 17, 2015 (Mar)",17:00,0.20%,0.30%,0.20%,2015,3
"Mar 24, 2015 (Feb)",17:00,0.20%,0.20%,-0.70%,2015,2
"Feb 26, 2015 (Jan)",18:00,-0.70%,-0.60%,-0.40%,2015,1
"Jan 16, 2015 (Dec)",18:00,-0.40%,-0.40%,-0.30%,2014,12
"Dec 17, 2014 (Nov)",18:00,-0.30%,-0.10%,0.00%,2014,11
"Nov 20, 2014 (Oct)",18:00,0.00%,-0.10%,0.10%,2014,10
"Oct 22, 2014 (Sep)",17:00,0.10%,0.10%,-0.20%,2014,9
"Sep 17, 2014 (Aug)",17:00,-0.20%,0.10%,0.10%,2014,8
19-Aug-14,17:00,0.10%,0.10%,0.30%,2014,7
22-Jul-14,17:00,0.30%,0.30%,0.40%,2014,6
17-Jun-14,17:00,0.40%,0.20%,0.30%,2014,5
15-May-14,17:00,0.30%,0.30%,0.20%,2014,4
15-Apr-14,17:00,0.20%,0.10%,0.10%,2014,3
18-Mar-14,17:00,0.10%,0.10%,0.10%,2014,2
20-Feb-14,18:00,0.10%,0.10%,0.20%,2014,1
16-Jan-14,18:00,0.30%,0.30%,0.00%,2013,12
17-Dec-13,18:00,0.00%,0.10%,-0.10%,2013,11
20-Nov-13,18:00,-0.10%,0.10%,0.20%,2013,10
30-Oct-13,17:00,0.20%,0.20%,0.10%,2013,9
17-Sep-13,17:00,0.10%,0.20%,0.20%,2013,8
15-Aug-13,17:00,0.20%,0.20%,0.50%,2013,7
16-Jul-13,17:00,0.50%,0.30%,0.10%,2013,6
18-Jun-13,17:00,0.10%,0.20%,-0.40%,2013,5
16-May-13,17:00,-0.40%,-0.20%,-0.20%,2013,4
16-Apr-13,17:00,-0.20%,0.10%,0.70%,2013,3
15-Mar-13,17:00,0.70%,0.50%,0.00%,2013,2
21-Feb-13,18:00,0.00%,0.10%,0.00%,2013,1
16-Jan-13,18:00,0.00%,0.00%,-0.30%,2012,12
14-Dec-12,18:00,-0.30%,-0.20%,0.10%,2012,11
15-Nov-12,18:00,0.10%,0.10%,0.60%,2012,10
16-Oct-12,17:00,0.60%,0.50%,0.60%,2012,9
14-Sep-12,17:00,0.60%,0.50%,0.00%,2012,8
15-Aug-12,17:00,0.00%,0.20%,0.00%,2012,7
17-Jul-12,17:00,0.00%,-0.10%,-0.30%,2012,6
14-Jun-12,17:00,-0.30%,-0.20%,0.00%,2012,5
15-May-12,17:00,0.00%,0.10%,0.30%,2012,4
13-Apr-12,17:00,0.30%,0.30%,0.40%,2012,3
16-Mar-12,17:00,0.40%,0.40%,0.20%,2012,2
17-Feb-12,18:00,0.20%,0.30%,0.00%,2012,1
19-Jan-12,18:00,0.00%,0.20%,0.00%,2011,12
16-Dec-11,18:00,0.00%,0.10%,-0.10%,2011,11
16-Nov-11,18:00,-0.10%,0.00%,0.30%,2011,10
19-Oct-11,17:00,0.30%,0.30%,0.40%,2011,9
15-Sep-11,17:00,0.40%,0.20%,0.50%,2011,8
18-Aug-11,17:00,0.50%,0.20%,-0.20%,2011,7
15-Jul-11,17:00,-0.20%,-0.10%,0.20%,2011,6
15-Jun-11,17:00,0.20%,0.10%,0.40%,2011,5
13-May-11,17:00,0.40%,0.40%,0.50%,2011,4
15-Apr-11,17:00,0.50%,0.50%,0.50%,2011,3
17-Mar-11,17:00,0.50%,0.40%,0.40%,2011,2
17-Feb-11,18:00,0.40%,0.30%,0.40%,2011,1
14-Jan-11,18:00,0.50%,0.40%,0.10%,2010,12
15-Dec-10,18:00,0.10%,0.20%,0.20%,2010,11
17-Nov-10,18:00,0.20%,0.30%,0.10%,2010,10
15-Oct-10,17:00,0.10%,0.20%,0.30%,2010,9
17-Sep-10,17:00,0.30%,0.20%,0.30%,2010,8
13-Aug-10,17:00,0.30%,0.20%,-0.10%,2010,7
